unix_time_s,voltage_a0,voltage_a3
1776087244.992115,1.793300,1.020600
1776087244.995777,1.368200,1.014200
1776087244.998686,1.149700,1.001600
1776087245.006229,1.651400,1.009300
1776087245.008685,1.796100,1.020600
1776087245.013625,1.369100,1.013900
1776087245.018609,1.149100,1.001000
1776087245.023611,1.648000,1.009600
1776087245.028602,1.789700,1.020900
1776087245.033610,1.364500,1.013900
1776087245.038837,1.145700,1.001300
1776087245.048019,1.645000,1.009300
1776087245.048650,1.792100,1.020300
1776087245.053622,1.367000,1.014200
1776087245.058637,1.153900,1.001300
1776087245.063612,1.655400,1.009600
1776087245.068601,1.808600,1.020900
1776087245.073610,1.384700,1.013900
1776087245.078611,1.173500,1.002000
1776087245.083606,1.671900,1.010200
1776087245.089152,1.825100,1.021500
1776087245.096062,1.395700,1.014200
1776087245.098815,1.180800,1.002600
1776087245.103621,1.677700,1.009900
1776087245.108608,1.827200,1.021200
1776087245.113609,1.398100,1.014500
1776087245.118616,1.183200,1.002300
1776087245.123615,1.677300,1.010200
1776087245.128618,1.829600,1.021500
1776087245.133632,1.400200,1.015400
1776087245.142536,1.189000,1.002300
1776087245.146096,1.684400,1.010500
1776087245.149397,1.842500,1.022400
1776087245.153615,1.413100,1.015100
1776087245.158620,1.205500,1.002600
1776087245.163628,1.699600,1.010500
1776087245.168615,1.859900,1.022100
1776087245.173620,1.426200,1.014800
1776087245.178616,1.214700,1.002900
1776087245.186679,1.703300,1.011100
1776087245.192394,1.855900,1.022100
1776087245.196023,1.421900,1.015400
1776087245.199428,1.203400,1.002300
1776087245.203619,1.693500,1.010800
1776087245.208637,1.841800,1.021200
1776087245.213635,1.408200,1.014200
1776087245.218622,1.188100,1.002300
1776087245.223676,1.678300,1.010200
1776087245.229025,1.825100,1.021200
1776087245.249306,1.394400,1.014800
1776087245.249714,1.178700,1.002300
1776087245.250458,1.671900,1.010500
1776087245.250868,1.826600,1.021500
1776087245.253805,1.399600,1.014200
1776087245.258606,1.188700,1.002300
1776087245.263603,1.683100,1.010500
1776087245.268618,1.841200,1.021500
1776087245.273615,1.410300,1.014800
1776087245.278616,1.194800,1.002300
1776087245.283612,1.686800,1.010200
1776087245.289753,1.843400,1.021800
1776087245.296885,1.411500,1.014500
1776087245.298918,1.198800,1.002300
1776087245.303610,1.690800,1.011100
1776087245.308619,1.851300,1.021500
1776087245.313633,1.419500,1.014500
1776087245.318617,1.204600,1.002300
1776087245.323612,1.694700,1.010800
1776087245.328618,1.849200,1.021500
1776087245.333619,1.414000,1.014500
1776087245.342305,1.187500,1.002300
1776087245.345921,1.679500,1.010200
1776087245.348990,1.820800,1.021500
1776087245.353637,1.387100,1.014800
1776087245.358626,1.156400,1.001300
1776087245.363621,1.646800,1.009900
1776087245.368621,1.783600,1.020300
1776087245.373624,1.357200,1.013600
1776087245.378617,1.126500,1.001300
1776087245.386605,1.625800,1.009300
1776087245.393015,1.763700,1.012600
1776087245.396490,1.340400,1.006200
1776087245.398649,1.114000,0.996800
1776087245.403624,1.613300,1.004700
1776087245.408607,1.752400,1.010200
1776087245.413622,1.332800,1.004700
1776087245.418620,1.106000,0.995500
1776087245.423621,1.610500,1.004400
1776087245.428617,1.751500,1.009600
1776087245.433622,1.332200,1.004700
1776087245.439176,1.106000,0.995200
1776087245.446065,1.609900,1.004400
1776087245.449129,1.750900,1.009300
1776087245.453622,1.333400,1.004400
1776087245.458626,1.109400,0.995800
1776087245.463618,1.614800,1.004700
1776087245.468610,1.761300,1.009600
1776087245.473611,1.342200,1.004700
1776087245.478616,1.120400,0.995800
1776087245.483613,1.623900,1.005600
1776087245.491054,1.771300,1.011100
1776087245.496376,1.352000,1.005600
1776087245.499565,1.133500,0.996500
1776087245.503621,1.633100,1.006500
1776087245.508615,1.788700,1.018700
1776087245.513616,1.367000,1.012900
1776087245.518616,1.150300,1.000700
1776087245.523611,1.651700,1.009300
1776087245.528620,1.810100,1.020600
1776087245.533693,1.384400,1.013900
1776087245.542468,1.168000,1.001300
1776087245.546495,1.664800,1.009600
1776087245.549417,1.826600,1.021500
1776087245.553620,1.397500,1.014500
1776087245.558615,1.183800,1.002000
1776087245.563640,1.677300,1.009900
1776087245.568625,1.836700,1.021800
1776087245.573625,1.406600,1.014800
1776087245.578619,1.186900,1.002300
1776087245.583620,1.678300,1.010200
1776087245.592259,1.835100,1.021500
1776087245.595799,1.405100,1.014500
1776087245.599401,1.183200,1.002000
1776087245.603641,1.674600,1.010500
1776087245.608621,1.828100,1.022100
1776087245.613638,1.396300,1.014200
1776087245.618637,1.173200,1.002000
1776087245.623613,1.666100,1.009900
1776087245.628620,1.819900,1.021500
1776087245.633613,1.392000,1.014500
1776087245.639030,1.169200,1.002600
1776087245.645906,1.663300,1.009900
1776087245.648663,1.818700,1.021500
1776087245.653646,1.390200,1.014500
1776087245.658617,1.165500,1.002000
1776087245.663664,1.662100,1.009900
1776087245.668620,1.815000,1.021200
1776087245.673623,1.387700,1.014200
1776087245.678616,1.163100,1.001600
1776087245.683620,1.656600,1.009600
1776087245.692467,1.807100,1.020600
1776087245.696274,1.378300,1.013600
1776087245.699321,1.150900,1.001300
1776087245.703624,1.644100,1.009600
1776087245.708620,1.790300,1.020600
1776087245.713629,1.367000,1.013200
1776087245.718618,1.138700,1.001300
1776087245.723621,1.636100,1.009000
1776087245.728619,1.786000,1.020600
1776087245.733623,1.365100,1.013600
1776087245.739177,1.138700,1.001300
1776087245.745841,1.637400,1.009900
1776087245.749253,1.791500,1.020600
1776087245.753626,1.367600,1.013600
1776087245.758619,1.141100,1.001300
1776087245.763649,1.640400,1.009300
1776087245.768620,1.800000,1.020600
1776087245.773616,1.376400,1.013900
1776087245.778627,1.155800,1.002000
1776087245.783676,1.654800,1.009600
1776087245.788982,1.818700,1.021800
1776087245.796038,1.392900,1.014200
1776087245.798885,1.170700,1.001600
1776087245.803633,1.664800,1.009900
1776087245.808627,1.821700,1.021500
1776087245.813633,1.394100,1.014500
1776087245.818625,1.168600,1.002000
1776087245.823618,1.661200,1.009900
1776087245.828616,1.819900,1.021800
1776087245.833619,1.393200,1.014500
1776087245.840417,1.173800,1.002600
1776087245.846152,1.669100,1.009900
1776087245.849079,1.837000,1.022100
1776087245.853624,1.408200,1.014800
1776087245.858619,1.189600,1.002300
1776087245.863616,1.682200,1.010500
1776087245.868618,1.848900,1.021800
1776087245.873618,1.417900,1.014800
1776087245.878621,1.195800,1.002300
1776087245.883621,1.685900,1.010200
1776087245.889147,1.847300,1.021500
1776087245.896193,1.417000,1.014500
1776087245.899195,1.191200,1.002000
1776087245.903614,1.682800,1.010500
1776087245.908628,1.845500,1.021200
1776087245.913638,1.414600,1.015400
1776087245.918622,1.188100,1.002000
1776087245.923611,1.680100,1.010200
1776087245.928618,1.842500,1.021800
1776087245.933620,1.412400,1.014800
1776087245.942744,1.189600,1.001600
1776087245.946545,1.678600,1.009900
1776087245.949379,1.842800,1.021800
1776087245.953625,1.411800,1.014500
1776087245.958630,1.190000,1.002000
1776087245.963648,1.678300,1.009900
1776087245.968619,1.846700,1.022400
1776087245.973628,1.414300,1.014200
1776087245.978625,1.200900,1.002300
1776087245.983617,1.689300,1.010200
1776087245.992448,1.864700,1.021800
1776087245.996163,1.433500,1.015400
1776087245.999055,1.214100,1.002900
1776087246.003609,1.702400,1.010800
1776087246.008626,1.873600,1.022700
1776087246.013633,1.438400,1.014800
1776087246.018622,1.213800,1.002900
1776087246.023609,1.699000,1.010500
1776087246.028616,1.865700,1.022100
1776087246.033620,1.430400,1.015100
1776087246.042333,1.202800,1.002600
1776087246.046164,1.690200,1.010500
1776087246.048675,1.855000,1.021800
1776087246.053631,1.421300,1.014500
1776087246.058625,1.190300,1.002000
1776087246.063633,1.678300,1.010500
1776087246.068620,1.840900,1.021800
1776087246.073616,1.410300,1.014200
1776087246.078617,1.185100,1.002000
1776087246.083627,1.674300,1.010200
1776087246.091288,1.843100,1.021500
1776087246.096029,1.413700,1.014500
1776087246.098766,1.189600,1.002300
1776087246.103667,1.679200,1.009900
1776087246.108616,1.846400,1.021800
1776087246.113616,1.417300,1.014200
1776087246.118619,1.193300,1.002000
1776087246.123630,1.681300,1.009900
1776087246.128625,1.850400,1.021800
1776087246.133616,1.417900,1.014500
1776087246.138728,1.186900,1.001600
1776087246.145342,1.675800,1.009900
1776087246.148615,1.834500,1.021800
1776087246.153621,1.404200,1.014800
1776087246.158625,1.167700,1.002300
1776087246.163623,1.658100,1.009600
1776087246.168627,1.812500,1.020900
1776087246.173632,1.384400,1.014500
1776087246.178624,1.144800,1.001300
1776087246.183614,1.637400,1.009600
