unix_time_s,voltage_a0,voltage_a3
1775750043.288141,1.228400,1.005600
1775750043.293318,1.083700,0.991000
1775750043.296871,0.978800,0.980600
1775750043.301691,0.906400,0.973900
1775750043.306730,0.851800,0.960100
1775750043.311690,0.812100,0.948500
1775750043.316698,0.786800,0.943100
1775750043.321696,0.767600,0.941500
1775750043.326703,0.752900,0.937300
1775750043.331695,0.745000,0.934800
1775750043.339069,0.737700,0.935100
1775750043.344372,0.729700,0.936600
1775750043.346700,0.727300,0.934800
1775750043.351694,0.724500,0.932400
1775750043.356686,0.722100,0.933900
1775750043.361684,0.720000,0.935400
1775750043.366691,0.717500,0.933600
1775750043.371698,0.716300,0.931500
1775750043.376699,0.715100,0.933000
1775750043.381689,0.713800,0.934800
1775750043.389158,0.713500,0.933300
1775750043.394046,0.712300,0.931800
1775750043.396708,0.711100,0.933000
1775750043.401696,0.711400,0.934500
1775750043.406704,0.709600,0.933900
1775750043.411679,0.709600,0.932100
1775750043.416685,0.709000,0.933300
1775750043.421683,0.708400,0.934800
1775750043.426681,0.708700,0.933900
1775750043.431683,0.707700,0.931800
1775750043.443665,0.707700,0.933000
1775750043.443898,0.707700,0.935400
1775750043.446737,0.707100,0.933600
1775750043.451683,0.706500,0.932400
1775750043.456678,0.706200,0.933300
1775750043.461687,0.707400,0.934800
1775750043.466694,0.706200,0.933300
1775750043.471688,0.705300,0.932100
1775750043.476709,0.705900,0.933000
1775750043.481692,0.705900,0.935400
1775750043.490434,0.705300,0.933900
1775750043.494920,0.705000,0.931800
1775750043.496689,0.704700,0.933000
1775750043.501693,0.704700,0.935100
1775750043.506687,0.705000,0.933900
1775750043.511687,0.704100,0.931800
1775750043.516708,0.704100,0.933300
1775750043.521697,0.704100,0.934800
1775750043.526717,0.704400,0.933900
1775750043.531681,0.704100,0.931500
1775750043.538683,0.702900,0.933000
1775750043.543792,0.704100,0.935400
1775750043.546705,0.702900,0.933600
1775750043.551699,0.702900,0.931500
1775750043.556699,0.703800,0.933300
1775750043.561695,0.702900,0.934500
1775750043.566697,0.702900,0.933600
1775750043.571704,0.704100,0.931800
1775750043.576692,0.702900,0.932400
1775750043.581698,0.704100,0.935100
1775750043.589249,0.703800,0.933900
1775750043.593850,0.702900,0.931500
1775750043.596695,0.702900,0.933000
1775750043.601679,0.702900,0.934800
1775750043.606681,0.702900,0.933600
1775750043.611679,0.702900,0.931800
1775750043.616706,0.702900,0.933000
1775750043.621677,0.702900,0.934800
1775750043.626708,0.702900,0.933900
1775750043.631683,0.701600,0.931800
1775750043.640581,0.702600,0.933000
1775750043.644050,0.701900,0.934800
1775750043.646919,0.701600,0.933600
1775750043.651697,0.701300,0.931500
1775750043.656684,0.702900,0.933000
1775750043.661691,0.701600,0.935100
1775750043.666699,0.701600,0.933600
1775750043.671688,0.702900,0.931800
1775750043.676701,0.702600,0.932700
1775750043.681697,0.702600,0.934800
1775750043.693651,0.702300,0.933900
1775750043.695040,0.701300,0.931500
1775750043.696692,0.701600,0.932700
1775750043.701686,0.702900,0.934800
1775750043.706694,0.702300,0.933900
1775750043.711678,0.700700,0.931100
1775750043.716690,0.701600,0.932700
1775750043.721699,0.702600,0.935400
1775750043.726699,0.701600,0.933300
1775750043.731689,0.701300,0.931800
1775750043.739485,0.701600,0.933300
1775750043.743088,0.701900,0.934800
1775750043.746980,0.701600,0.933600
1775750043.751697,0.701300,0.931500
1775750043.756694,0.701300,0.932700
1775750043.761684,0.701600,0.934500
1775750043.766698,0.701300,0.933900
1775750043.771692,0.701000,0.931800
1775750043.776684,0.701600,0.933000
1775750043.781702,0.701600,0.935100
1775750043.789649,0.702300,0.933300
1775750043.794280,0.701600,0.931500
1775750043.796687,0.701000,0.933300
1775750043.802880,0.702300,0.934800
1775750043.806680,0.700700,0.933900
1775750043.811689,0.701300,0.931800
1775750043.816716,0.701000,0.933000
1775750043.821714,0.701300,0.934800
1775750043.826716,0.701300,0.933900
1775750043.831689,0.700400,0.932100
1775750043.840775,0.700400,0.933300
1775750043.844471,0.700700,0.934500
1775750043.846728,0.700400,0.933900
1775750043.851694,0.701300,0.931800
1775750043.856701,0.700400,0.933000
1775750043.861685,0.699800,0.935100
1775750043.866682,0.701000,0.933000
1775750043.871698,0.700700,0.931500
1775750043.876699,0.700400,0.932700
1775750043.881690,0.701000,0.934500
1775750043.890550,0.700700,0.933300
1775750043.895089,0.700100,0.931800
1775750043.896884,0.700400,0.932400
1775750043.901690,0.700400,0.934800
1775750043.906688,0.700400,0.933600
1775750043.911690,0.699800,0.931500
1775750043.916694,0.701000,0.933000
1775750043.921705,0.701000,0.934500
1775750043.926685,0.700400,0.933000
1775750043.931692,0.700400,0.931500
1775750043.943640,0.701000,0.933000
1775750043.945083,0.702600,0.934800
1775750043.946712,0.699800,0.933900
1775750043.951689,0.701300,0.931800
1775750043.956682,0.701300,0.932400
1775750043.961689,0.700100,0.934800
1775750043.966688,0.700400,0.933300
1775750043.971684,0.700100,0.931500
1775750043.976683,0.699800,0.933300
1775750043.981683,0.700400,0.934500
1775750043.988761,0.700400,0.933300
1775750043.994104,0.700400,0.931500
1775750043.996771,0.700400,0.933000
1775750044.001717,0.700400,0.934800
1775750044.006715,0.701000,0.933300
1775750044.011688,0.699500,0.931800
1775750044.016692,0.699800,0.933300
1775750044.021696,0.699800,0.934800
